Country,Year of estimate,cases per 1 000
Belgium,‒,‒
Bulgaria,‒,‒
Czechia,2022,1.4-1.4
Denmark,2016,4.0-9.6
Germany,2021,1.6-2.0
Estonia,‒,‒
Ireland,2019,6.6-7.3
Greece,2022,1.0-1.5
Spain,2021,1.2-2.2
France,2020,5.5-5.8
Croatia,2015,2.5-4.0
Italy,2022,3.6-6.0
Cyprus,2022,1.8-3.8
Latvia,2017,4.6-7.0
Lithuania,2016,2.7-6.5
Luxembourg,2019,3.3
Hungary,2010-11,0.4-0.5
Malta,2022,3.6-3.7
Netherlands,2012,1.1-1.5
Austria,2021,6.3-6.8
Poland,2014,0.4-0.7
Portugal,2018,3.0-7.0
Romania,2020,1.0-1.7
Slovenia,2022,3.0-3.5
Slovakia,2020,0.9–1.7
Finland,2017,6.9-8.6
Sweden,‒,‒
Türkiye,2011,0.2-0.5
Norway,2013,2.0-4.2
