Country,Heroin - Quantity seized (kg),Heroin - Quantity seized (count),Cocaine - Quantity seized (kg),Cocaine - Quantity seized (count),Amphetamine - Quantity seized (kg),Amphetamine - Quantity seized (count),Methamphetamine - Quantity seized (kg),Methamphetamine - Quantity seized (count),"MDMA, MDA, MDEA - Quantity seized (tablets)","MDMA, MDA, MDEA - Quantity seized kg)","MDMA, MDA, MDEA - Quantity seized (count)",Cannabis resin - Quantity seized (kg),Cannabis resin - Quantity seized (count),Herbal cannabis - Quantity seized (kg),Herbal cannabis - Quantity seized (count),Cannabis oil - Quantity seized (kg),Cannabis oil - Quantity seized (litre),Cannabis oil - Quantity seized (count),Cannabis plants - Quantity seized (plants),Cannabis plants - Quantity seized (kg),Cannabis plants - Quantity seized (count)
Belgium,1283,4,110911,189,4,6,16,6,-,-,-,2833,13,2990,30,-,< 1,4,-,-,-
Bulgaria,335,289,33,294,29,764,46,1212,1332,4,149,4,32,15224,3474,-,-,-,25262,5428,281
Czechia,< 1,82,1195,215,3,70,42,2558,18854,2,258,2,70,927,6288,-,< 1,1,15671,-,375
Denmark,-,-,352,5461,365,1968,13,318,28204,8,536,5073,17196,497,3065,-,5,85,6585,295,360
Germany,1023,-,20047,-,1631,-,785,-,-,236,-,2845,-,16914,-,-,-,-,152409,-,-
Estonia,< 0.01,2,3103,184,40,373,< 1,43,-,1,102,39,20,68,676,-,-,-,-,39,37
Ireland (1),-,1635,-,4020,-,333,-,60,-,-,378,-,294,-,6429,-,-,-,-,-,635
Greece,140,2428,900,1096,92,10,57,405,7886,21,104,78,356,6186,7598,433,-,19,44544,-,537
Spain,189,8981,58334,53413,307,4070,148,738,469766,321,6390,324709,191637,126002,141082,9,-,235,2812950,-,3044
France,1400,-,27700,-,273,-,-,-,1543421,-,-,87600,-,41000,-,-,-,-,76807,-,-
Croatia,28,135,329,649,96,1094,< 1,12,-,11,410,38,352,1140,5902,-,-,-,11658,-,212
Italy,548,1464,26089,7474,9,95,44,155, 9 224,11,225,13900,8866,33105,5604,18,10,46,209057,-,869
Cyprus,< 0.1,14,38,134,< 0.1,2,4,220,166,1,12,39,19,348,752,-,-,-,136,-,19
Latvia,< 0.01,3,175,150,11,370,9,171,7118,5,234,584,84,170,1096,< 0.1,-,4,-,65,31
Lithuania,1,44,23,-,95,-,2,-,48,53,-,1,-,220,-,-,-,-,-,-,-
Luxembourg,4,80,1,189,< 1,8,< 1,3,19,< 0.1,7,12,492,9,323,-,-,-,367,-,10
Hungary,6,31,85,320,30,839,1,204,46627,4,462,18,155,522,2804,5,-,33,6366,-,170
Malta,20,15,2971,57,< 1,1,-,-,10,-,3,< 1,3,157,42,-,-,-,70,-,5
Netherlands (1),2611,-,51447,-,32,-,82,-,-,363,-,293,-,5492,-,-,-,-,-,-,-
Austria,102,1061,119,1986,29,904,10,550,20982,8,690,70,1248,1685,12360,3,-,56,24224,-,441
Poland,14,356,309,590,1823,12038,107,2041,67908,65,1443,380,572,7280,20501,-,-,-,41086,-,1341
Portugal,73,1252,16533,2010,1,105,2,19,7925,6,605,23375,4741,1157,1026,< 0.1,< 1,8,9273,< 0.1,247
Romania,191,373,80,646,15,302,< 1,15,45355,2,635,13,191,608,3889,-,< 1,4,-,653,97
Slovenia,6,296,678,310,1,140,1,48,110,< 0.1,48,2,78,688,2848,-,-,-,15119,< 0.01,114
Slovakia,< 1,38,6,46,< 0.1,3,6,776,394,< 0.1,52,276,28,83,919,< 0.1,-,1,542,-,20
Finland,< 1,9,56,301,304,1208,9,153,60683,9,383,286,167,753,1026,-,-,-,12703,-,979
Sweden,18,613,1002,4471,1886,6553,7,155,128408,21,1380,5678,16054,2143,6446,10,-,263,-,-,-
Türkiye,7957,17503,2276,3827,5995,3463,15827,77765,5050325,-,4519,29332,15729,42519,57454,-,116,29,109575459,-,5737
Norway,84,424,117,1501,199,2715,30,136,43658,14,580,3971,5261,1172,2148,1,5,-,-,-,-
European Union,7991,19205,322516,84205,7076,31256,1392,9862,2464440,1152,14506,468149,242668,265372,234180,478,17,759,3464829,6478,9824
"EU, Türkiye and Norway",16032,37132,324909,89533,13270,37434,17250,87763,7558423,1166,19605,501451,263658,309063,293782,479,139,788,113037288,6478,15561
