"Country","City","Substance targeted","Current value","Previous value","Current year","Previous year","Percentage change","Change","SiteID","Location","Latitude","Longitude","Population","Institution"
"PT","Almada","cannabis",102.58,134,2023,2022,"-23.4","decrease","PT001","Mutela",38.675187,-9.154345,138685,"INMLCF"
"NL","Amsterdam","cannabis",195.74,169.39,2023,2022,"15.6","increase","NL001","RWZI Amsterdam-WEST",52.375,4.8666668,689470,"KWR Water Research Institute"
"TR","Ankara","cannabis",24.4,,2023,,,"no previous data","TR002","Tatlar",39.93436,32.88606,4735531,"Ankara- Lab139"
"ES","Barcelona","cannabis",220.63,151.1,2023,2022,"46","increase","ES001","Baix Llobregat",41.43,1.97,1200831,"IDAEA-CSIC"
"LU","Boevange","cannabis",99.62,,2023,,,"no previous data","LU001","Boevange",50.04657,5.93265,8657,"Laboratoire national de santÃ©"
"IT","Bozen","cannabis",57.71,43.44,2023,2022,"32.799999999999997","increase","IT001","KlÃ¤ranlage Bozen",46.49672,11.358,283000,"Medical University Innsbruck"
"SK","Bratislava C","cannabis",34.3,41.64,2023,2022,"-17.600000000000001","decrease","SK002","Central",48.14925,17.106991,450000,"University of South Bohemia in ÄŒeskÃ© Budejovice - VodÅˆany"
"CZ","Brno","cannabis",45.5,49.7,2023,2022,"-8.5","stable","CZ001","Waterworks and sewage of city Brno",49.19506,16.606837,445000,"FFPW USB"
"ES","Castellon","cannabis",75.27,54.53,2023,2022,"38","increase","ES002","EDAR CastellÃ³n",40.23,-0.12,177606,"IUPA"
"SI","DomÅ¾ale-Kamnik","cannabis",65.81,55.59,2023,2022,"18.399999999999999","increase","SI001","DomÅ¾ale-Kamnik",46.13788,14.59384,77981,"JoÅ¾ef Stefan Institute, Environmental department, Laboratory for organic analysis"
"NL","Eindhoven","cannabis",147.64,98.31,2023,2022,"50.2","increase","NL002","RWZI Eindhoven",51.4421082,5.4800701,468599,"KWR Water Research Institute"
"ES","Granada","cannabis",15.5,,2023,,,"no previous data","ES003","Biofactoria Sur",37.17752,-3.59539,233821,"UGR"
"AT","Graz","cannabis",64.2,60.24,2023,2022,"6.6","stable","AT001","ARA Graz",47.070713,15.439504,462000,"Medical University Innsbruck"
"SE","GÃ¤vle","cannabis",48.68,55.48,2023,2022,"-12.3","decrease","SE002","Duvbacken ARV",60.674622,17.14183,88668,"RISE"
"AT","Hall-Wattens","cannabis",49.2,45.42,2023,2022,"8.3000000000000007","stable","AT002","Abwasserverband Hall in Tirol-Fritzens",47.29168,11.59284,84000,"Medical University Innsbruck"
"AT","Innsbruck","cannabis",84.29,83.61,2023,2022,"0.8","stable","AT004","ARA Innsbruck",47.269212,11.404102,293000,"Medical University Innsbruck"
"TR","Istanbul (II-VII)","cannabis",14.16,22.91,2023,2022,"-38.200000000000003","decrease","TR004","ATAKÃ–Y; BALTALÄ°MANI; KADIKÃ–Y; KÃœÃ‡ÃœKÃ‡EKMECE; TUZLA; YENÄ°KAPI",41.013,28.9748,16525000,"Forensic Toxicology Labs. Institute of Forensic Sciences and Legal Medicine, Istanbul University-Cerrahpasa"
"AT","Kapfenberg","cannabis",67.42,21.4,2023,2022,"215","increase","AT005","KlÃ¤ranlage Kapfenberg",47.443562,15.2901,39000,"Medical University Innsbruck"
"CZ","Karlovy Vary","cannabis",109.13,121.41,2023,2022,"-10.1","decrease","CZ003","ÄŒOV Karloy Vary",50.23204,12.87099,67544,"T.G.Masaryk Water Research Institute"
"AT","Klagenfurt","cannabis",41.55,55.92,2023,2022,"-25.7","decrease","AT006","Wasserverband WÃ¶rthersee Ost",46.6357,14.311817,232000,"Medical University Innsbruck"
"AT","Knittelfeld","cannabis",56.66,52.53,2023,2022,"7.9","stable","AT008","AWV Knittelfeld",47.21595,14.82719,37000,"Medical University Innsbruck"
"SI","Koper","cannabis",167.48,82,2023,2022,"104.2","increase","SI002","Central wastewater treatment plant Koper",45.548058,13.730188,49843,"JoÅ¾ef Stefan Institute, Environmental department, Laboratory for organic analysis"
"PL","Krakow P","cannabis",37.54,46.03,2023,2022,"-18.399999999999999","decrease","PL003","Krakow Plaszow",50.06,19.94,680000,"Mario Negri Institute"
"SI","Kranj","cannabis",56.59,38.01,2023,2022,"48.9","increase","SI003","Central wastewater treatment plant Kranj",46.242834,14.355542,70000,"JoÅ¾ef Stefan Institute, Environmental department, Laboratory for organic analysis"
"AT","Kufstein","cannabis",90.77,104.54,2023,2022,"-13.2","decrease","AT010","Abwasserverband Kufstein",47.582958,12.17077,48000,"Medical University Innsbruck"
"NL","Leeuwarden","cannabis",199.84,,2023,,,"no previous data","NL003","Leeuwarden",53.20082,5.8022,104355,"KWR Water Research Institute"
"PT","Lisbon","cannabis",113.19,129.91,2023,2022,"-12.9","decrease","PT002","AlcÃ¢ntara",38.7044907,-9.1754999,426964,"INMLCF"
"SI","Ljubljana","cannabis",137.36,79.95,2023,2022,"71.8","increase","SI004","Central wastewater treatment plant Ljubljana",46.056947,14.505751,270305,"JoÅ¾ef Stefan Institute, Environmental department, Laboratory for organic analysis"
"ES","Lleida","cannabis",172.82,89.24,2023,2022,"93.7","increase","ES004","EDAR Lleida",41.617592,0.620015,146669,"IDAEA-CSIC"
"LU","Mamer","cannabis",133.98,,2023,,,"no previous data","LU002","Mamer",49.6275,6.0145,11268,"Laboratoire national de santÃ©"
"SI","Maribor","cannabis",88.6,61.62,2023,2022,"43.8","increase","SI005","Maribor",46.55734,15.64591,129000,"JoÅ¾ef Stefan Institute, Environmental department, Laboratory for organic analysis"
"LU","Mersch","cannabis",114.95,,2023,,,"no previous data","LU003","Beringen",49.74811,6.10546,32157,"Laboratoire national de santÃ©"
"IT","Milan","cannabis",54.22,53.33,2023,2022,"1.7","stable","IT002","Nosedo",45.4337997,9.2213602,1195875,"Mario Negri Institute"
"SI","Novo mesto","cannabis",73.9,57.46,2023,2022,"28.6","increase","SI006","Wastewater treatment plant Novo mesto",45.804211,15.16969,25414,"JoÅ¾ef Stefan Institute, Environmental department, Laboratory for organic analysis"
"CZ","Ostrava","cannabis",54.13,76.25,2023,2022,"-29","decrease","CZ004","ÃšÄŒOV Ostrava",49.833864,18.281034,250000,"T.G.Masaryk Water Research Institute"
"FR","Paris Seine Centre","cannabis",119.1,117.74,2023,2021,"1.2","stable","FR005","Seine Centre",48.95,2.27,411831,"Mario Negri Institute"
"SK","Piestany","cannabis",23.42,26.72,2023,2022,"-12.4","decrease","SK004","Piestany",48.5918007,17.8019009,35000,"University of South Bohemia in ÄŒeskÃ© Budejovice - VodÅˆany"
"CZ","PlzeÅˆ","cannabis",114.72,,2023,,,"no previous data","CZ005","ÄŒOV PlzeÅˆ",49.73945,13.37329,178677,"T.G.Masaryk Water Research Institute"
"PT","Porto","cannabis",98.29,64.12,2023,2022,"53.3","increase","PT003","Porto",41.157944,-8.629105,150000,"USC"
"CZ","Prague NVL","cannabis",104.36,102.82,2023,2022,"1.5","stable","CZ007","ÃšÄŒOV Praha",50.0763,14.43952,760000,"T.G.Masaryk Water Research Institute"
"AT","Purgstall","cannabis",42.96,30.04,2023,2022,"43","increase","AT013","GAV Erlauftal",48.057812,15.13545,11000,"Medical University Innsbruck"
"AT","Region MillstÃ¤ttersee","cannabis",49.5,47.17,2023,2022,"4.9000000000000004","stable","AT011","Wasserverband Millstaettersee",46.81924,13.52146,76000,"Medical University Innsbruck"
"NL","Rotterdam (2)","cannabis",225.36,,2023,,,"no previous data","NL006","Rotterdam Kralingseveer; Rotterdam Dokhaven",51.92288,4.47847,612912,"N/A"
"AT","Salzburg","cannabis",55.15,58.2,2023,2022,"-5.2","stable","AT014","ARA Siggerwiesen",47.811195,13.033229,424000,"Medical University Innsbruck"
"ES","Santiago","cannabis",71.9,92.81,2023,2022,"-22.5","decrease","ES007","Silvouta",42.88,-8.54,136500,"IAQBUS"
"AT","Steyr","cannabis",86.59,71.15,2023,2022,"21.7","increase","AT015","Reinhaltungsverband Steyr und Umgebung",48.05009,14.41827,81000,"Medical University Innsbruck"
"AT","Strass im Zillertal","cannabis",35.81,34.07,2023,2022,"5.0999999999999996","stable","AT016","AIZ Abwasserverband",47.395748,11.82211,129000,"Medical University Innsbruck"
"EE","Tallinn","cannabis",65.23,56.84,2023,2022,"14.8","increase","EE005","AS Tallinna Vesi",59.436962,24.753574,480000,"Estonian Forensic Science Institute"
"ES","Tarragona","cannabis",192.64,87.71,2023,2022,"119.6","increase","ES008","Tarragona",41.1190145116416,1.24570728603803,146995,"URV"
"EE","Tartu","cannabis",36.13,25.73,2023,2021,"40.4","increase","EE006","AS Tartu VeevÃ¤rk",58.3770174887881,26.7297981416611,100000,"Estonian Forensic Science Institute"
"NL","Utrecht","cannabis",146.61,99.56,2023,2022,"47.3","increase","NL009","RWZI Utrecht",52.0858002,5.1308398,274188,"KWR Water Research Institute"
"ES","Valencia (3)","cannabis",80.23,93.94,2023,2022,"-14.6","decrease","ES009","Pinedo I; Pinedo II; Quart-Benager",39.46,-0.33,1471771,"Research Institute for Pesticides and Water, University Jaume I"
"SI","Velenje","cannabis",78.17,72.36,2023,2022,"8","stable","SI007","Central wastewater treatment plant Å aleÅ¡ke Doline (Å alek Valley)",46.362274,15.110658,32583,"JoÅ¾ef Stefan Institute, Environmental department, Laboratory for organic analysis"
"SE","VÃ¤xjÃ¶","cannabis",31.2,23.55,2023,2022,"32.5","increase","SE009","Sundets ARV",56.858257,14.761215,75042,"RISE"
"AT","Wasserverband Hofsteig","cannabis",49.14,50.56,2023,2022,"-2.8","stable","AT003","ARA Hofsteig",47.4852,9.6762,123000,"Medical University Innsbruck"
"AT","Wien","cannabis",80.09,83.12,2023,2022,"-3.6","stable","AT017","HauptklÃ¤ranlage Wien",48.210033,16.363449,3132000,"Medical University Innsbruck"
"AT","Wiener Neustadt","cannabis",60.51,66.82,2023,2022,"-9.4","stable","AT018","AWV Wr. Neustadt-SÃ¼d",47.80279,16.23318,136000,"Medical University Innsbruck"
"AT","Wildon","cannabis",45.96,47.94,2023,2022,"-4.0999999999999996","stable","AT019","Abwasserverband Grazerfeld",46.885708,15.518532,75000,"Medical University Innsbruck"
"HR","Zagreb","cannabis",85.68,96.34,2023,2022,"-11.1","decrease","HR001","Central wastewater treatment plant of the city of Zagreb",45.7929993,15.9463997,650000,"IUPA"
"CZ","ÄŒeskÃ© BudÄ›jovice","cannabis",73.5,103.22,2023,2022,"-28.8","decrease","CZ002","UCOV CB",48.96,14.46,110000,"FFPW USB"
